# CERN-PH-EP-2006-001, tab. 19
# observed 95% exclusion limits on sig/sigRef(e+ e- -> H1 H2)*BR(H1 -> tautau)*BR(H2 -> tautau) for sqrt(s) = 91-209 GeV
# mH1 <= mH2  &&  mH1 + mH2 < 206 GeV
# mH2[GeV] | mH1[GeV] | sig/sigRef*BR*BR_95%
5.0      5.0      0.00041
10.0     5.0      0.00047
10.0     10.0     0.00035
15.0     5.0      0.0036
15.0     10.0     0.0032
15.0     15.0     0.0032
20.0     5.0      0.0033
20.0     10.0     0.0035
20.0     15.0     0.0037
20.0     20.0     0.0040
25.0     5.0      0.0037
25.0     10.0     0.0039
25.0     15.0     0.0043
25.0     20.0     0.0043
25.0     25.0     0.0046
30.0     5.0      0.0052
30.0     10.0     0.0058
30.0     15.0     0.0045
30.0     20.0     0.0047
30.0     25.0     0.0055
30.0     30.0     0.0060
35.0     5.0      0.0060
35.0     10.0     0.0058
35.0     15.0     0.0056
35.0     20.0     0.0065
35.0     25.0     0.0070
35.0     30.0     0.0081
35.0     35.0     0.0084
40.0     5.0      0.0063
40.0     10.0     0.0064
40.0     15.0     0.0071
40.0     20.0     0.0070
40.0     25.0     0.0078
40.0     30.0     0.0092
40.0     35.0     0.011
40.0     40.0     0.0099
45.0     5.0      0.0079
45.0     10.0     0.0068
45.0     15.0     0.0066
45.0     20.0     0.0083
45.0     25.0     0.0088
45.0     30.0     0.011
45.0     35.0     0.011
45.0     40.0     0.012
45.0     45.0     0.016
50.0     5.0      0.0096
50.0     10.0     0.011
50.0     15.0     0.0086
50.0     20.0     0.0089
50.0     25.0     0.011
50.0     30.0     0.011
50.0     35.0     0.015
50.0     40.0     0.018
50.0     45.0     0.017
50.0     50.0     0.018
55.0     5.0      0.0113
55.0     10.0     0.0115
55.0     15.0     0.0098
55.0     20.0     0.0115
55.0     25.0     0.014
55.0     30.0     0.015
55.0     35.0     0.0185
55.0     40.0     0.020
55.0     45.0     0.0205
55.0     50.0     0.021
55.0     55.0     0.021
60.0     5.0      0.013
60.0     10.0     0.012
60.0     15.0     0.011
60.0     20.0     0.014
60.0     25.0     0.017
60.0     30.0     0.019
60.0     35.0     0.022
60.0     40.0     0.022
60.0     45.0     0.024
60.0     50.0     0.024
60.0     55.0     0.025
60.0     60.0     0.028
65.0     5.0      0.015
65.0     10.0     0.015
65.0     15.0     0.015
65.0     20.0     0.016
65.0     25.0     0.019
65.0     30.0     0.022
65.0     35.0     0.023
65.0     40.0     0.023
65.0     45.0     0.024
65.0     50.0     0.026
65.0     55.0     0.030
65.0     60.0     0.033
65.0     65.0     0.036
70.0     5.0      0.019
70.0     10.0     0.017
70.0     15.0     0.017
70.0     20.0     0.021
70.0     25.0     0.021
70.0     30.0     0.022
70.0     35.0     0.023
70.0     40.0     0.024
70.0     45.0     0.025
70.0     50.0     0.033
70.0     55.0     0.033
70.0     60.0     0.039
70.0     65.0     0.039
70.0     70.0     0.042
75.0     5.0      0.023
75.0     10.0     0.023
75.0     15.0     0.021
75.0     20.0     0.023
75.0     25.0     0.024
75.0     30.0     0.024
75.0     35.0     0.025
75.0     40.0     0.028
75.0     45.0     0.031
75.0     50.0     0.035
75.0     55.0     0.038
75.0     60.0     0.040
75.0     65.0     0.044
75.0     70.0     0.048
75.0     75.0     0.049
80.0     5.0      0.028
80.0     10.0     0.026
80.0     15.0     0.024
80.0     20.0     0.025
80.0     25.0     0.025
80.0     30.0     0.026
80.0     35.0     0.030
80.0     40.0     0.032
80.0     45.0     0.036
80.0     50.0     0.041
80.0     55.0     0.043
80.0     60.0     0.049
80.0     65.0     0.047
80.0     70.0     0.051
80.0     75.0     0.057
80.0     80.0     0.064
85.0     5.0      0.032
85.0     10.0     0.029
85.0     15.0     0.028
85.0     20.0     0.027
85.0     25.0     0.030
85.0     30.0     0.031
85.0     35.0     0.032
85.0     40.0     0.035
85.0     45.0     0.040
85.0     50.0     0.043
85.0     55.0     0.048
85.0     60.0     0.050
85.0     65.0     0.055
85.0     70.0     0.061
85.0     75.0     0.071
85.0     80.0     0.075
85.0     85.0     0.097
90.0     5.0      0.033
90.0     10.0     0.031
90.0     15.0     0.028
90.0     20.0     0.030
90.0     25.0     0.031
90.0     30.0     0.032
90.0     35.0     0.035
90.0     40.0     0.041
90.0     45.0     0.045
90.0     50.0     0.049
90.0     55.0     0.053
90.0     60.0     0.059
90.0     65.0     0.065
90.0     70.0     0.077
90.0     75.0     0.080
90.0     80.0     0.10
90.0     85.0     0.14
90.0     90.0     0.21
95.0     5.0      0.037
95.0     10.0     0.034
95.0     15.0     0.031
95.0     20.0     0.034
95.0     25.0     0.036
95.0     30.0     0.037
95.0     35.0     0.041
95.0     40.0     0.047
95.0     45.0     0.050
95.0     50.0     0.054
95.0     55.0     0.059
95.0     60.0     0.067
95.0     65.0     0.076
95.0     70.0     0.080
95.0     75.0     0.10
95.0     80.0     0.14
95.0     85.0     0.21
95.0     90.0     0.38
95.0     95.0     0.70
100.0    5.0      0.040
100.0    10.0     0.036
100.0    15.0     0.036
100.0    20.0     0.037
100.0    25.0     0.038
100.0    30.0     0.044
100.0    35.0     0.048
100.0    40.0     0.053
100.0    45.0     0.059
100.0    50.0     0.062
100.0    55.0     0.069
100.0    60.0     0.077
100.0    65.0     0.086
100.0    70.0     0.11
100.0    75.0     0.15
100.0    80.0     0.21
100.0    85.0     0.39
100.0    90.0     0.71
100.0    95.0     1.0
100.0    100.0    1.0
105.0    5.0      0.045
105.0    10.0     0.040
105.0    15.0     0.042
105.0    20.0     0.043
105.0    25.0     0.047
105.0    30.0     0.052
105.0    35.0     0.055
105.0    40.0     0.065
105.0    45.0     0.068
105.0    50.0     0.072
105.0    55.0     0.083
105.0    60.0     0.096
105.0    65.0     0.11
105.0    70.0     0.15
105.0    75.0     0.22
105.0    80.0     0.39
